word,hiragana,romaji,reason,note,pos,category
Ｒ＆Ｂ,あーるあんどびー,aruandobi,abbreviation,,普通名詞,抽象物
ＤＮＡ,でぃーえぬえい,dienuei,abbreviation,,普通名詞,自然物
Ｆ１,えふわん,efuwan,abbreviation,,普通名詞,抽象物
ＨＩＶ,えいちあいぶい,eichiaibui,abbreviation,,普通名詞,抽象物
Ｊリーグ,じぇいりーぐ,jeirigu,abbreviation,,普通名詞,組織・団体
Ｇメン,じーめん,jimen,abbreviation,,普通名詞,人
ＯＢ,おーびー,obi,abbreviation,,普通名詞,人;抽象物
ＯＤＡ,おーでぃーえー,odie,abbreviation,,普通名詞,抽象物
ＰＲ,ぴーあーる,piaru,abbreviation,,普通名詞,抽象物
ＰＣ,ぴーしー,pishi,abbreviation,,普通名詞,人工物-その他
ＣＤ,しーでぃー,shidi,abbreviation,,普通名詞,人工物-その他
ＣＭ,しーえむ,shiemu,abbreviation,,普通名詞,抽象物
Ｔシャツ,てぃーしゃつ,tishatsu,abbreviation,,普通名詞,人工物-衣類
４ＷＤ,よんだぶりゅーでぃー,yondaburyudi,abbreviation,,普通名詞,人工物-乗り物
Ｕターン,ゆーたーん,yutan,abbreviation,,サ変名詞,抽象物
仇,あだ,ada,abstract_word,kanji_only,普通名詞,抽象物
徒名,あだな,adana,abstract_word,kanji_only,普通名詞,抽象物
愛着,あいちゃく,aichaku,abstract_word,kanji_only,サ変名詞,抽象物
間柄,あいだがら,aidagara,abstract_word,kanji_only,普通名詞,抽象物
哀願,あいがん,aigan,abstract_word,kanji_only,サ変名詞,抽象物
愛護,あいご,aigo,abstract_word,kanji_only,サ変名詞,抽象物
愛情,あいじょう,aijo,abstract_word,kanji_only,普通名詞,抽象物
哀感,あいかん,aikan,abstract_word,kanji_only,普通名詞,抽象物
哀歓,あいかん,aikan,abstract_word,kanji_only,普通名詞,抽象物
相子,あいこ,aiko,abstract_word,kanji_only,普通名詞,抽象物
愛嬌,あいきょう,aikyo,abstract_word,kanji_only,普通名詞,抽象物
哀楽,あいらく,airaku,abstract_word,kanji_only,普通名詞,抽象物
挨拶,あいさつ,aisatsu,abstract_word,kanji_only,サ変名詞,抽象物
哀惜,あいせき,aiseki,abstract_word,kanji_only,サ変名詞,抽象物
愛称,あいしょう,aisho,abstract_word,kanji_only,普通名詞,抽象物
相性,あいしょう,aisho,abstract_word,kanji_only,普通名詞,抽象物
哀愁,あいしゅう,aishu,abstract_word,kanji_only,普通名詞,抽象物
愛想,あいそ,aiso,abstract_word,kanji_only,普通名詞,抽象物
哀悼,あいとう,aito,abstract_word,kanji_only,サ変名詞,抽象物
愛用,あいよう,aiyo,abstract_word,kanji_only,サ変名詞,抽象物
愛憎,あいぞう,aizo,abstract_word,kanji_only,普通名詞,抽象物
合図,あいず,aizu,abstract_word,kanji_only,サ変名詞,抽象物
相槌,あいづち,aizuchi,abstract_word,kanji_only,普通名詞,抽象物
赤潮,あかしお,akashio,abstract_word,kanji_only,普通名詞,抽象物
秋風,あきかぜ,akikaze,abstract_word,kanji_only,普通名詞,抽象物
秋雨,あきさめ,akisame,abstract_word,kanji_only,普通名詞,抽象物
悪化,あっか,akka,abstract_word,kanji_only,サ変名詞,抽象物
圧巻,あっかん,akkan,abstract_word,kanji_only,普通名詞,抽象物
悪,あく,aku,abstract_word,kanji_only,普通名詞,抽象物
悪文,あくぶん,akubun,abstract_word,kanji_only,普通名詞,抽象物
悪行,あくぎょう,akugyo,abstract_word,kanji_only,普通名詞,抽象物
悪癖,あくへき,akuheki,abstract_word,kanji_only,普通名詞,抽象物
悪評,あくひょう,akuhyo,abstract_word,kanji_only,普通名詞,抽象物
悪意,あくい,akui,abstract_word,kanji_only,普通名詞,抽象物
悪事,あくじ,akuji,abstract_word,kanji_only,普通名詞,抽象物
悪夢,あくむ,akumu,abstract_word,kanji_only,普通名詞,抽象物
悪運,あくうん,akun,abstract_word,kanji_only,普通名詞,抽象物
悪声,あくせい,akusei,abstract_word,kanji_only,普通名詞,抽象物
悪戦,あくせん,akusen,abstract_word,kanji_only,サ変名詞,抽象物
握手,あくしゅ,akushu,abstract_word,kanji_only,サ変名詞,抽象物
悪習,あくしゅう,akushu,abstract_word,kanji_only,普通名詞,抽象物
悪態,あくたい,akutai,abstract_word,kanji_only,普通名詞,抽象物
悪徳,あくとく,akutoku,abstract_word,kanji_only,普通名詞,抽象物
悪用,あくよう,akuyo,abstract_word,kanji_only,サ変名詞,抽象物
雨脚,あまあし,amaashi,abstract_word,kanji_only,普通名詞,抽象物
雨音,あまおと,amaoto,abstract_word,kanji_only,普通名詞,抽象物
暗部,あんぶ,anbu,abstract_word,kanji_only,普通名詞,抽象物
安置,あんち,anchi,abstract_word,kanji_only,サ変名詞,抽象物
安堵,あんど,ando,abstract_word,kanji_only,サ変名詞,抽象物
暗号,あんごう,ango,abstract_word,kanji_only,普通名詞,抽象物
行脚,あんぎゃ,angya,abstract_word,kanji_only,サ変名詞,抽象物
暗示,あんじ,anji,abstract_word,kanji_only,サ変名詞,抽象物
案件,あんけん,anken,abstract_word,kanji_only,普通名詞,抽象物
暗黙,あんもく,anmoku,abstract_word,kanji_only,普通名詞,抽象物
案内,あんない,annai,abstract_word,kanji_only,サ変名詞,抽象物
安寧,あんねい,annei,abstract_word,kanji_only,普通名詞,抽象物
安否,あんぴ,anpi,abstract_word,kanji_only,普通名詞,抽象物
安心,あんしん,anshin,abstract_word,kanji_only,サ変名詞,抽象物
暗証,あんしょう,ansho,abstract_word,kanji_only,普通名詞,抽象物
安定,あんてい,antei,abstract_word,kanji_only,サ変名詞,抽象物
暗転,あんてん,anten,abstract_word,kanji_only,サ変名詞,抽象物
暗躍,あんやく,anyaku,abstract_word,kanji_only,サ変名詞,抽象物
青嵐,あおあらし,aoarashi,abstract_word,kanji_only,普通名詞,抽象物
青写真,あおじゃしん,aojashin,abstract_word,kanji_only,普通名詞,抽象物
青二才,あおにさい,aonisai,abstract_word,kanji_only,普通名詞,抽象物
青空,あおぞら,aozora,abstract_word,kanji_only,普通名詞,抽象物
圧迫,あっぱく,appaku,abstract_word,kanji_only,サ変名詞,抽象物
荒波,あらなみ,aranami,abstract_word,kanji_only,普通名詞,抽象物
霰,あられ,arare,abstract_word,kanji_only,普通名詞,抽象物
嵐,あらし,arashi,abstract_word,kanji_only,普通名詞,抽象物
亜流,ありゅう,aryu,abstract_word,kanji_only,普通名詞,抽象物
朝霧,あさぎり,asagiri,abstract_word,kanji_only,普通名詞,抽象物
朝飯前,あさめしまえ,asameshimae,abstract_word,kanji_only,普通名詞,抽象物
朝靄,あさもや,asamoya,abstract_word,kanji_only,普通名詞,抽象物
朝潮,あさしお,asashio,abstract_word,kanji_only,普通名詞,抽象物
足長,あしなが,ashinaga,abstract_word,kanji_only,普通名詞,抽象物
足音,あしおと,ashioto,abstract_word,kanji_only,普通名詞,抽象物
亜種,あしゅ,ashu,abstract_word,kanji_only,普通名詞,抽象物
圧搾,あっさく,assaku,abstract_word,kanji_only,サ変名詞,抽象物
斡旋,あっせん,assen,abstract_word,kanji_only,サ変名詞,抽象物
圧縮,あっしゅく,asshuku,abstract_word,kanji_only,サ変名詞,抽象物
後味,あとあじ,atoaji,abstract_word,kanji_only,普通名詞,抽象物
後釜,あとがま,atogama,abstract_word,kanji_only,普通名詞,抽象物
跡形,あとかた,atokata,abstract_word,kanji_only,普通名詞,抽象物
後始末,あとしまつ,atoshimatsu,abstract_word,kanji_only,サ変名詞,抽象物
熱々,あつあつ,atsuatsu,abstract_word,kanji_only,普通名詞,抽象物
軋轢,あつれき,atsureki,abstract_word,kanji_only,サ変名詞,抽象物
圧力,あつりょく,atsuryoku,abstract_word,kanji_only,普通名詞,抽象物
圧倒,あっとう,atto,abstract_word,kanji_only,サ変名詞,抽象物
場合,ばあい,baai,abstract_word,kanji_only,普通名詞,抽象物
罰,ばち,bachi,abstract_word,kanji_only,普通名詞,抽象物
倍加,ばいか,baika,abstract_word,kanji_only,サ変名詞,抽象物
媒介,ばいかい,baikai,abstract_word,kanji_only,サ変名詞,抽象物
媒体,ばいたい,baitai,abstract_word,kanji_only,普通名詞,抽象物
培養,ばいよう,baiyo,abstract_word,kanji_only,サ変名詞,抽象物
倍増,ばいぞう,baizo,abstract_word,kanji_only,サ変名詞,抽象物
馬耳東風,ばじとうふう,bajitofu,abstract_word,kanji_only,普通名詞,抽象物
跋扈,ばっこ,bakko,abstract_word,kanji_only,サ変名詞,抽象物
爆風,ばくふう,bakufu,abstract_word,kanji_only,普通名詞,抽象物
爆発,ばくはつ,bakuhatsu,abstract_word,kanji_only,サ変名詞,抽象物
爆音,ばくおん,bakuon,abstract_word,kanji_only,普通名詞,抽象物
暴露,ばくろ,bakuro,abstract_word,kanji_only,サ変名詞,抽象物
驀進,ばくしん,bakushin,abstract_word,kanji_only,サ変名詞,抽象物
爆笑,ばくしょう,bakusho,abstract_word,kanji_only,サ変名詞,抽象物
場面,ばめん,bamen,abstract_word,kanji_only,普通名詞,抽象物
番,ばん,ban,abstract_word,kanji_only,普通名詞,抽象物
万物,ばんぶつ,banbutsu,abstract_word,kanji_only,普通名詞,抽象物
番外,ばんがい,bangai,abstract_word,kanji_only,普通名詞,抽象物
番号,ばんごう,bango,abstract_word,kanji_only,普通名詞,抽象物
