word,hiragana,romaji,reason,note,pos,category,domain
握力,あくりょく,akuryoku,medical_domain,健康・医学,普通名詞,抽象物,健康・医学
悪性,あくせい,akusei,medical_domain,健康・医学,普通名詞,抽象物,健康・医学
荒療治,あらりょうじ,araryoji,medical_domain,健康・医学,サ変名詞,抽象物,健康・医学
別状,べつじょう,betsujo,medical_domain,健康・医学,普通名詞,抽象物,健康・医学
惚,ぼけ,boke,medical_domain,健康・医学,普通名詞,抽象物,健康・医学
分娩,ぶんべん,bunben,medical_domain,健康・医学,サ変名詞,抽象物,健康・医学
分泌,ぶんぴつ,bunpitsu,medical_domain,健康・医学; romaji_used_by:文筆,サ変名詞,抽象物,健康・医学
病,びょう,byo,medical_domain,健康・医学; romaji_used_by:廟,普通名詞,抽象物,健康・医学
病没,びょうぼつ,byobotsu,medical_domain,健康・医学,サ変名詞,抽象物,健康・医学
病害,びょうがい,byogai,medical_domain,健康・医学,普通名詞,抽象物,健康・医学
病原,びょうげん,byogen,medical_domain,健康・医学,普通名詞,抽象物,健康・医学
病弊,びょうへい,byohei,medical_domain,健康・医学,普通名詞,抽象物,健康・医学
病変,びょうへん,byohen,medical_domain,健康・医学,普通名詞,抽象物,健康・医学
病状,びょうじょう,byojo,medical_domain,健康・医学,普通名詞,抽象物,健康・医学
病気,びょうき,byoki,medical_domain,健康・医学,普通名詞,抽象物,健康・医学
病根,びょうこん,byokon,medical_domain,健康・医学,普通名詞,抽象物,健康・医学
病名,びょうめい,byomei,medical_domain,健康・医学,普通名詞,抽象物,健康・医学
病理,びょうり,byori,medical_domain,健康・医学,普通名詞,抽象物,健康・医学
病床,びょうしょう,byosho,medical_domain,健康・医学,普通名詞,抽象物,健康・医学
着床,ちゃくしょう,chakusho,medical_domain,健康・医学,サ変名詞,抽象物,健康・医学
知覚,ちかく,chikaku,medical_domain,健康・医学; romaji_used_by:地核,サ変名詞,抽象物,健康・医学
鎮静,ちんせい,chinsei,medical_domain,健康・医学,サ変名詞,抽象物,健康・医学
鎮痛,ちんつう,chintsu,medical_domain,健康・医学,サ変名詞,抽象物,健康・医学
治療,ちりょう,chiryo,medical_domain,健康・医学,サ変名詞,抽象物,健康・医学
窒息,ちっそく,chissoku,medical_domain,健康・医学,サ変名詞,抽象物,健康・医学
治癒,ちゆ,chiyu,medical_domain,健康・医学,サ変名詞,抽象物,健康・医学
聴覚,ちょうかく,chokaku,medical_domain,健康・医学,普通名詞,抽象物,健康・医学
聴力,ちょうりょく,choryoku,medical_domain,健康・医学,普通名詞,抽象物,健康・医学
調剤,ちょうざい,chozai,medical_domain,健康・医学,サ変名詞,抽象物,健康・医学
中毒,ちゅうどく,chudoku,medical_domain,健康・医学,サ変名詞,抽象物,健康・医学
