word,hiragana,romaji,pos,category,domain,source
肋骨,あばらぼね,abarabone,普通名詞,動物-部位,,juman
あばら家,あばらや,abaraya,普通名詞,場所-施設,,juman
虻,あぶ,abu,普通名詞,動物,,juman
油,あぶら,abura,普通名詞,自然物,,juman
油揚げ,あぶらあげ,aburaage,普通名詞,人工物-食べ物,料理・食事,juman
脂汗,あぶらあせ,aburaase,普通名詞,自然物,健康・医学,juman
油絵,あぶらえ,aburae,普通名詞,人工物-その他;抽象物,文化・芸術,juman
脂身,あぶらみ,aburami,普通名詞,動物-部位;人工物-食べ物,料理・食事,juman
油虫,あぶらむし,aburamushi,普通名詞,動物,,juman
油菜,あぶらな,aburana,普通名詞,植物,料理・食事,juman
油売り,あぶらうり,aburauri,サ変名詞,人,,juman
油蝉,あぶらぜみ,aburazemi,普通名詞,動物,,juman
上り口,あがりぐち,agariguchi,普通名詞,場所-施設部位,,juman
揚げ羽蝶,あげはちょう,agehacho,普通名詞,動物,,juman
揚げ物,あげもの,agemono,普通名詞,人工物-食べ物,料理・食事,juman
上げ潮,あげしお,ageshio,普通名詞,抽象物,,juman
間,あいだ,aida,時相名詞,場所-機能;時間,,juman
愛読,あいどく,aidoku,サ変名詞,抽象物,レクリエーション,juman
愛育,あいいく,aiiku,サ変名詞,抽象物,家庭・暮らし,juman
愛飲,あいいん,aiin,サ変名詞,抽象物,料理・食事,juman
藍色,あいいろ,aiiro,普通名詞,色,,juman
愛情,あいじょう,aijo,普通名詞,抽象物,,manual
合い鍵,あいかぎ,aikagi,普通名詞,人工物-その他,家庭・暮らし,juman
相方,あいかた,aikata,普通名詞,人,,juman
愛犬,あいけん,aiken,普通名詞,動物,,juman
合い言葉,あいことば,aikotoba,普通名詞,抽象物,,juman
合い口,あいくち,aikuchi,普通名詞,人工物-その他,,juman
間の手,あいのて,ainote,普通名詞,抽象物,文化・芸術;レクリエーション,juman
愛妻,あいさい,aisai,普通名詞,人,家庭・暮らし,juman
挨拶,あいさつ,aisatsu,サ変名詞,抽象物,,manual
愛車,あいしゃ,aisha,普通名詞,人工物-乗り物,交通,juman
相手,あいて,aite,普通名詞,人,,juman
相手方,あいてかた,aitekata,普通名詞,人;場所-機能,,juman
鰺,あじ,aji,普通名詞,動物;人工物-食べ物,料理・食事,juman
味見,あじみ,ajimi,サ変名詞,抽象物,料理・食事,juman
紫陽花,あじさい,ajisai,普通名詞,植物,,juman
味付け,あじつけ,ajitsuke,サ変名詞,抽象物,料理・食事,juman
赤,あか,aka,普通名詞,色,,juman
赤ちゃん,あかちゃん,akachan,普通名詞,人,家庭・暮らし,juman
赤米,あかごめ,akagome,普通名詞,人工物-食べ物,料理・食事,juman
赤色,あかいろ,akairo,普通名詞,色,,juman
赤松,あかまつ,akamatsu,普通名詞,植物,,juman
赤虫,あかむし,akamushi,普通名詞,動物,,juman
赤ん坊,あかんぼう,akanbo,普通名詞,人,家庭・暮らし,juman
茜,あかね,akane,普通名詞,植物,,juman
茜色,あかねいろ,akaneiro,普通名詞,色,,juman
亜寒帯,あかんたい,akantai,普通名詞,場所-その他,,juman
赤ら顔,あからがお,akaragao,普通名詞,動物-部位,,juman
明かり取り,あかりとり,akaritori,普通名詞,場所-施設部位,家庭・暮らし,juman
赤錆び,あかさび,akasabi,普通名詞,自然物,,juman
赤土,あかつち,akatsuchi,普通名詞,自然物,,juman
