word,hiragana,romaji,reason,note,pos,category
あぶく,あぶく,abuku,abstract_word,抽象物,普通名詞,抽象物
仇討ち,あだうち,adauchi,abstract_word,抽象物,サ変名詞,抽象物
上がったり,あがったり,agattari,abstract_word,抽象物,普通名詞,抽象物
揚げ足,あげあし,ageashi,abstract_word,抽象物,普通名詞,抽象物
上げ下ろし,あげおろし,ageoroshi,abstract_word,抽象物,サ変名詞,抽象物
上げ下げ,あげさげ,agesage,abstract_word,抽象物,サ変名詞,抽象物
愛想尽かし,あいそづかし,aisozukashi,abstract_word,抽象物,普通名詞,抽象物
赤旗,あかはた,akahata,abstract_word,人工物-その他;抽象物,普通名詞,人工物-その他;抽象物
証,あかし,akashi,abstract_word,人工物-その他;抽象物,普通名詞,人工物-その他;抽象物
飽き飽き,あきあき,akiaki,abstract_word,抽象物,サ変名詞,抽象物
雨晒し,あまざらし,amazarashi,abstract_word,抽象物,普通名詞,抽象物
網の目,あみのめ,aminome,abstract_word,抽象物,普通名詞,抽象物
あんばい,あんばい,anbai,abstract_word,抽象物,普通名詞,抽象物
暗鬼,あんき,anki,abstract_word,人;抽象物,普通名詞,人;抽象物
彼の手此の手,あのてこのて,anotekonote,abstract_word,抽象物,普通名詞,抽象物
粗,あら,ara,abstract_word,人工物-その他;抽象物,普通名詞,人工物-その他;抽象物
洗い晒し,あらいざらし,araizarashi,abstract_word,抽象物,普通名詞,抽象物
あらまし,あらまし,aramashi,abstract_word,抽象物,普通名詞,抽象物
粗探し,あらさがし,arasagashi,abstract_word,抽象物,サ変名詞,抽象物
有り明け,ありあけ,ariake,abstract_word,抽象物;時間,普通名詞,抽象物;時間
有り合わせ,ありあわせ,ariawase,abstract_word,抽象物,普通名詞,抽象物
有り様,ありさま,arisama,abstract_word,抽象物,普通名詞,抽象物
朝駆け,あさがけ,asagake,abstract_word,抽象物,サ変名詞,抽象物
朝凪ぎ,あさなぎ,asanagi,abstract_word,抽象物,普通名詞,抽象物
足取り,あしどり,ashidori,abstract_word,抽象物,普通名詞,抽象物
足固め,あしがため,ashigatame,abstract_word,抽象物,サ変名詞,抽象物
足並み,あしなみ,ashinami,abstract_word,抽象物,普通名詞,抽象物
足慣らし,あしならし,ashinarashi,abstract_word,抽象物,サ変名詞,抽象物
頭ごなし,あたまごなし,atamagonashi,abstract_word,抽象物,普通名詞,抽象物
頭越し,あたまごし,atamagoshi,abstract_word,抽象物,普通名詞,抽象物
頭打ち,あたまうち,atamauchi,abstract_word,抽象物,普通名詞,抽象物
辺り,あたり,atari,abstract_word,場所-機能;抽象物,普通名詞,場所-機能;抽象物
当たり障り,あたりさわり,atarisawari,abstract_word,抽象物,普通名詞,抽象物
当て字,あてじ,ateji,abstract_word,抽象物,普通名詞,抽象物
当て擦り,あてこすり,atekosuri,abstract_word,抽象物,普通名詞,抽象物
宛て名,あてな,atena,abstract_word,抽象物,普通名詞,抽象物
後回し,あとまわし,atomawashi,abstract_word,抽象物,普通名詞,抽象物
後の祭り,あとのまつり,atonomatsuri,abstract_word,抽象物,普通名詞,抽象物
後退り,あとずさり,atozusari,abstract_word,抽象物,サ変名詞,抽象物
あうんの呼吸,あうんのこきゅう,aunnokokyu,abstract_word,抽象物,普通名詞,抽象物
場当たり,ばあたり,baatari,abstract_word,抽象物,普通名詞,抽象物
化けの皮,ばけのかわ,bakenokawa,abstract_word,抽象物,普通名詞,抽象物
場慣れ,ばなれ,banare,abstract_word,抽象物,サ変名詞,抽象物
万象,ばんしょう,bansho,abstract_word,形・模様;抽象物,普通名詞,抽象物;形・模様
便覧,べんらん,benran,abstract_word,人工物-その他;抽象物,普通名詞,人工物-その他;抽象物
べそ,べそ,beso,abstract_word,抽象物,普通名詞,抽象物
べた褒め,べたほめ,betahome,abstract_word,抽象物,サ変名詞,抽象物
別物,べつもの,betsumono,abstract_word,人工物-その他;抽象物,普通名詞,人工物-その他;抽象物
びり,びり,biri,abstract_word,抽象物,普通名詞,抽象物
棒立ち,ぼうだち,bodachi,abstract_word,抽象物,普通名詞,抽象物
棒読み,ぼうよみ,boyomi,abstract_word,抽象物,サ変名詞,抽象物
ぶっ続け,ぶっつづけ,buttsuzuke,abstract_word,抽象物,普通名詞,抽象物
茶目っ気,ちゃめっけ,chamekke,abstract_word,抽象物,普通名詞,抽象物
茶摘み,ちゃつみ,chatsumi,abstract_word,抽象物,サ変名詞,抽象物
力添え,ちからぞえ,chikarazoe,abstract_word,抽象物,サ変名詞,抽象物
力ずく,ちからずく,chikarazuku,abstract_word,抽象物,普通名詞,抽象物
鳥瞰図,ちょうかんず,chokanzu,abstract_word,人工物-その他;抽象物,普通名詞,人工物-その他;抽象物
直面,ちょくめん,chokumen,abstract_word,場所-機能;抽象物,サ変名詞,場所-機能;抽象物
中軸,ちゅうじく,chujiku,abstract_word,人工物-その他;抽象物,普通名詞,人工物-その他;抽象物
中間,ちゅうかん,chukan,abstract_word,場所-機能;抽象物,普通名詞,場所-機能;抽象物
宙吊り,ちゅうづり,chuzuri,abstract_word,抽象物,普通名詞,抽象物
代表,だいひょう,daihyo,abstract_word,人;抽象物,サ変名詞,人;抽象物
抱き合わせ,だきあわせ,dakiawase,abstract_word,抽象物,普通名詞,抽象物
だんまり,だんまり,danmari,abstract_word,抽象物,普通名詞,抽象物
出し入れ,だしいれ,dashiire,abstract_word,抽象物,普通名詞,抽象物
出し物,だしもの,dashimono,abstract_word,抽象物,普通名詞,抽象物
出だし,でだし,dedashi,abstract_word,抽象物,普通名詞,抽象物
出来合い,できあい,dekiai,abstract_word,抽象物,普通名詞,抽象物
出来栄え,できばえ,dekibae,abstract_word,抽象物,普通名詞,抽象物
電報,でんぽう,denpo,abstract_word,人工物-その他;抽象物,普通名詞,人工物-その他;抽象物
出初め式,でぞめしき,dezomeshiki,abstract_word,抽象物,普通名詞,抽象物
出ずっぱり,でずっぱり,dezuppari,abstract_word,抽象物,普通名詞,抽象物
度合い,どあい,doai,abstract_word,抽象物,普通名詞,抽象物
土台,どだい,dodai,abstract_word,人工物-その他;抽象物,普通名詞,人工物-その他;抽象物
道具立て,どうぐだて,dogudate,abstract_word,抽象物,サ変名詞,抽象物
ど根性,どこんじょう,dokonjo,abstract_word,抽象物,普通名詞,抽象物
胴突き,どうづき,dozuki,abstract_word,抽象物,普通名詞,抽象物
枝打ち,えだうち,edauchi,abstract_word,抽象物,サ変名詞,抽象物
縁の下,えんのした,ennoshita,abstract_word,場所-施設部位;抽象物,普通名詞,場所-施設部位;抽象物
縁続き,えんつづき,entsuzuki,abstract_word,抽象物,普通名詞,抽象物
選り取り,えりどり,eridori,abstract_word,抽象物,普通名詞,抽象物
風合い,ふうあい,fuai,abstract_word,抽象物,普通名詞,抽象物
不払い,ふばらい,fubarai,abstract_word,抽象物,普通名詞,抽象物
封印,ふういん,fuin,abstract_word,人工物-その他;抽象物,サ変名詞,人工物-その他;抽象物
深追い,ふかおい,fukaoi,abstract_word,抽象物,サ変名詞,抽象物
吹き曝し,ふきさらし,fukisarashi,abstract_word,抽象物,普通名詞,抽象物
吹きっさらし,ふきっさらし,fukissarashi,abstract_word,抽象物,普通名詞,抽象物
腹背,ふくはい,fukuhai,abstract_word,場所-その他;抽象物,普通名詞,場所-その他;抽象物
袋叩き,ふくろだたき,fukurodataki,abstract_word,抽象物,普通名詞,抽象物
踏み絵,ふみえ,fumie,abstract_word,抽象物,普通名詞,抽象物
踏ん切り,ふんぎり,fungiri,abstract_word,抽象物,普通名詞,抽象物
触れ込み,ふれこみ,furekomi,abstract_word,抽象物,普通名詞,抽象物
振り仮名,ふりがな,furigana,abstract_word,抽象物,普通名詞,抽象物
二つ返事,ふたつへんじ,futatsuhenji,abstract_word,抽象物,サ変名詞,抽象物
冬籠もり,ふゆごもり,fuyugomori,abstract_word,抽象物,サ変名詞,抽象物
付図,ふず,fuzu,abstract_word,人工物-その他;抽象物,普通名詞,人工物-その他;抽象物
崖崩れ,がけくずれ,gakekuzure,abstract_word,抽象物,普通名詞,抽象物
がんじがらめ,がんじがらめ,ganjigarame,abstract_word,抽象物,普通名詞,抽象物
がら空き,がらあき,garaaki,abstract_word,抽象物,普通名詞,抽象物
合作,がっさく,gassaku,abstract_word,人工物-その他;抽象物,サ変名詞,人工物-その他;抽象物
